label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
5	1847 kg	0.2017	RUNNING	STOCKTON	0.0827	1225	1.6913	Basketball	1315 m	SANTA CLARITA	0.2084	1.6003
4	1672 kg	0.7091	ice hockey	San Bernardino	1.9133	1521	1.122	soccer	544 m	Modesto, Moreno Valley	0.3429	0.9163
5	1691 kg	0.883	running	Stockton	0.8197	1360	-0.6893	basketball	1091 m	Long Beach	0.3473	-0.213
2	-1287 kg	0.2343	volleyball	Irvine	0.4747	105	1.8982	motor sports	2086 m	oAKLAND	0.1239	1.1263
2	205 kg	-0.0906	volleyball	Irvine	0.2668	1689	2.5584	boxing	1377 m	San Francisco	0.4622	-0.0865
0	1794 kg	0.1478	tennis	Anaheim, Sacramento, San Diego	-0.3874	974	0.4326	soccer	12 m	Moreno Valley, Stockton	0.8883	-0.1577
1	-391 kg	0.226	motor sports	Modesto, Moreno Valley	0.5262	275	-0.4801	golf	938 m	Irvine, Anaheim, Santa Ana, Chula Vista	-0.1318	1.6575
1	-1120 kg	0.3019	track & field	Moreno Valley	0.4924	3	0.3487	track & field	1067 m	Irvine, Santa Ana	1.7689	0.2551
0	856 kg	-0.134	soccer	San Jose	1.0497	-430	0.9886	baseball	2646 m	Sacramento	1.4027	0.2821
4	1921 kg	0.7791	basketball	San Bernardino	-0.2011	1318	0.8176	soccer	1099 m	Modesto	0.3326	0.67
4	1229 kg	-0.0105	ice hockey	Moreno Valley, Modesto, Fresno, Santa Ana	0.115	1290	1.5443	soccer	142 m	Moreno Valley	0.8658	0.3437
2	176 kg	-0.3004	VOLLEYBALL	Oakland	-0.1133	1951	0.32	motor sports	-135 m	Oakland, Los Angeles	1.1891	0.2532
5	1606 kg	1.3146	running	Stockton	0.6963	1066	-0.6044	basketball	-574 m	Santa Clarita	1.4806	0.2634
2	350 kg	0.1889	volleyball	Oakland	0.6303	-161	0.6073	running	1065 m	Oakland, San Bernardino, Los Angeles	2.2002	-0.1262
3	272 kg	1.4363	baseball	Santa Clarita	1.3668	-249	1.2804	N/A	-1903 m	Riverside	0.2783	-0.0575
5	-530 kg	0.0664	ice hockey	Stockton	0.7528	2139	0.5645	basketball	1022 m	Long Beach	0.0926	0.5745
2	-1297 kg	1.3194	volleyball	Oakland, Irvine	1.6256	220	1.1999	boxing	-1062 m	Oakland, San Diego, Los Angeles, San Bernardino	0.4786	0.6279
2	-83 kg	0.2277	volleyball	Oakland	-0.5349	487	0.6893	running	1206 m	Oakland, Fremont	0.2212	1.1528
2	-384 kg	0.8998	volleyball	Oakland	-1.0458	1270	0.0896	motor sports	1774 m	Fremont, Oakland	1.6509	1.4629
5	-799 kg	-0.2078	golf	Riverside, Modesto, Santa Ana, Fresno	-0.0415	1066	-1.6205	basketball	460 m	Long Beach	-0.1463	0.8381
1	795 kg	1.6185	track & field	Chula Vista	-0.1392	1049	2.0094	track & field	-86 m	Santa Clarita	0.1544	2.0662
4	734 kg	1.7252	basketball	San Bernardino, Long Beach	0.116	2392	-0.4063	soccer	375 m	Modesto	-0.0511	-0.8373
